"","week","group","mouse","weight","sex"
"11551",1,"group 3","129","12.7","female"
"11552",2,"group 3","129","15","female"
"11553",3,"group 3","129","15.2","female"
"11554",4,"group 3","129","16.5","female"
"11555",5,"group 3","129","16.6","female"
"11556",6,"group 3","129","17","female"
"11557",7,"group 3","129","18.2","female"
"11558",8,"group 3","129","19.2","female"
"11559",9,"group 3","129","17.9","female"
"11560",10,"group 3","129","18.7","female"
"11561",11,"group 3","129","20","female"
"11562",12,"group 3","129","18.9","female"
"11563",13,"group 3","129","18.6","female"
"11564",14,"group 3","129","19.3","female"
"11565",15,"group 3","129","19.3","female"
"11566",16,"group 3","129","19.7","female"
"11567",17,"group 3","129","20.6","female"
"11568",18,"group 3","129","19.8","female"
"11569",19,"group 3","129","20.1","female"
"11570",20,"group 3","129","21.9","female"
"11571",21,"group 3","129","20.6","female"
"11572",22,"group 3","129","21.1","female"
"11573",23,"group 3","129","20.2","female"
"11574",24,"group 3","129","19.7","female"
"11575",25,"group 3","129","22.1","female"
"11576",26,"group 3","129","21.7","female"
"11577",27,"group 3","129","20.4","female"
"11578",28,"group 3","129","20.5","female"
"11579",29,"group 3","129","21.6","female"
"11580",30,"group 3","129","20.8","female"
"11581",31,"group 3","129","22.4","female"
"11582",32,"group 3","129","22.8","female"
"11583",33,"group 3","129","21.4","female"
"11584",34,"group 3","129","21.7","female"
"11585",35,"group 3","129","21.2","female"
"11586",36,"group 3","129","21.5","female"
"11587",37,"group 3","129","21.8","female"
"11588",38,"group 3","129","21.2","female"
"11589",39,"group 3","129","21","female"
"11590",40,"group 3","129","20.8","female"
"11591",41,"group 3","129","20.9","female"
"11592",42,"group 3","129","21.9","female"
"11593",43,"group 3","129","21.3","female"
"11594",44,"group 3","129","22.2","female"
"11595",45,"group 3","129","22.2","female"
"11596",46,"group 3","129","23.1","female"
"11597",47,"group 3","129","21.9","female"
"11598",48,"group 3","129","21.8","female"
"11599",49,"group 3","129","22.2","female"
"11600",50,"group 3","129","22.7","female"
"11601",51,"group 3","129","21","female"
"11602",52,"group 3","129","22","female"
"11603",53,"group 3","129","23.1","female"
"11604",54,"group 3","129","21.8","female"
"11605",55,"group 3","129","23.1","female"
"11606",56,"group 3","129","19.9","female"
"11607",57,"group 3","129","22.7","female"
"11608",58,"group 3","129","22.8","female"
"11609",59,"group 3","129","22.1","female"
"11610",60,"group 3","129","22.3","female"
"11611",61,"group 3","129","22.8","female"
"11612",62,"group 3","129","22.5","female"
"11613",63,"group 3","129","21.7","female"
"11614",64,"group 3","129","21.9","female"
"11615",65,"group 3","129","21.9","female"
"11616",66,"group 3","129","21.8","female"
"11617",67,"group 3","129","22.1","female"
"11618",68,"group 3","129","22.3","female"
"11619",69,"group 3","129","22","female"
"11620",70,"group 3","129","21.8","female"
"11621",71,"group 3","129","23.7","female"
"11622",72,"group 3","129","22.8","female"
"11623",73,"group 3","129","21.3","female"
"11643",1,"group 3","130","15.7","female"
"11644",2,"group 3","130","18","female"
"11645",3,"group 3","130","18.9","female"
"11646",4,"group 3","130","19.5","female"
"11647",5,"group 3","130","21","female"
"11648",6,"group 3","130","21.8","female"
"11649",7,"group 3","130","22.4","female"
"11650",8,"group 3","130","25","female"
"11651",9,"group 3","130","22.8","female"
"11652",10,"group 3","130","24.5","female"
"11653",11,"group 3","130","25.8","female"
"11654",12,"group 3","130","24.5","female"
"11655",13,"group 3","130","25.8","female"
"11656",14,"group 3","130","27.1","female"
"11657",15,"group 3","130","26.4","female"
"11658",16,"group 3","130","27.7","female"
"11659",17,"group 3","130","27","female"
"11660",18,"group 3","130","29.3","female"
"11661",19,"group 3","130","31.2","female"
"11662",20,"group 3","130","31.4","female"
"11663",21,"group 3","130","30.6","female"
"11664",22,"group 3","130","32.4","female"
"11665",23,"group 3","130","33.3","female"
"11666",24,"group 3","130","30.3","female"
"11667",25,"group 3","130","32.1","female"
"11668",26,"group 3","130","33.2","female"
"11669",27,"group 3","130","31.7","female"
"11670",28,"group 3","130","32.2","female"
"11671",29,"group 3","130","32.9","female"
"11672",30,"group 3","130","29.7","female"
"11673",31,"group 3","130","31.4","female"
"11674",32,"group 3","130","32.6","female"
"11675",33,"group 3","130","32.7","female"
"11676",34,"group 3","130","30.8","female"
"11677",35,"group 3","130","31.9","female"
"11678",36,"group 3","130","32.4","female"
"11679",37,"group 3","130","30.7","female"
"11680",38,"group 3","130","32.1","female"
"11681",39,"group 3","130","32.4","female"
"11682",40,"group 3","130","31.2","female"
"11683",41,"group 3","130","32.2","female"
"11684",42,"group 3","130","34.9","female"
"11685",43,"group 3","130","33.3","female"
"11686",44,"group 3","130","34.2","female"
"11687",45,"group 3","130","35.6","female"
"11688",46,"group 3","130","36.8","female"
"11689",47,"group 3","130","35.4","female"
"11690",48,"group 3","130","36.3","female"
"11691",49,"group 3","130","37","female"
"11692",50,"group 3","130","36.7","female"
"11693",51,"group 3","130","36.8","female"
"11694",52,"group 3","130","39","female"
